Foreign Originating,Foreign Returning,Month,Month Number,U.S. Citizen Originating,U.S. Citizen Returning,Year,__source_file,__source_title
762,1116,November,11,898,972,2020,agana.csv,agana
699,842,October,10,773,630,2020,agana.csv,agana
828,879,September,9,746,564,2020,agana.csv,agana
969,604,August,8,725,678,2020,agana.csv,agana
1065,729,July,7,795,857,2020,agana.csv,agana
624,517,June,6,930,685,2020,agana.csv,agana
197,211,May,5,277,174,2020,agana.csv,agana
73,264,April,4,120,119,2020,agana.csv,agana
30772,39033,March,3,5198,7024,2020,agana.csv,agana
108547,114819,February,2,12219,13334,2020,agana.csv,agana
153317,156820,January,1,15336,18123,2020,agana.csv,agana
149096,142259,December,12,18384,15770,2019,agana.csv,agana
136506,130756,November,11,15844,14731,2019,agana.csv,agana
129103,126067,October,10,14649,13560,2019,agana.csv,agana
131874,128939,September,9,12593,13286,2019,agana.csv,agana
154875,151299,August,8,14095,16812,2019,agana.csv,agana
130852,123774,July,7,19507,21489,2019,agana.csv,agana
116206,113486,June,6,19813,17054,2019,agana.csv,agana
112851,117658,May,5,16495,15230,2019,agana.csv,agana
114268,107415,April,4,16462,16743,2019,agana.csv,agana
139734,137600,March,3,17340,16909,2019,agana.csv,agana
131255,131776,February,2,13671,13929,2019,agana.csv,agana
141521,144720,January,1,15173,18428,2019,agana.csv,agana
17,40,August,8,28,52,2025,aguadilla.csv,aguadilla
51,32,July,7,40,78,2025,aguadilla.csv,aguadilla
55,44,June,6,31,81,2025,aguadilla.csv,aguadilla
77,35,May,5,58,42,2025,aguadilla.csv,aguadilla
43,28,April,4,42,73,2025,aguadilla.csv,aguadilla
59,52,March,3,24,55,2025,aguadilla.csv,aguadilla
36,20,February,2,77,105,2025,aguadilla.csv,aguadilla
166,72,January,1,130,304,2025,aguadilla.csv,aguadilla
91,87,December,12,229,232,2024,aguadilla.csv,aguadilla
67,83,November,11,200,168,2024,aguadilla.csv,aguadilla
149,136,October,10,201,200,2024,aguadilla.csv,aguadilla
54,62,September,9,24,41,2024,aguadilla.csv,aguadilla
10,8,August,8,25,26,2024,aguadilla.csv,aguadilla
40,48,July,7,274,449,2024,aguadilla.csv,aguadilla
94,76,June,6,1321,1088,2024,aguadilla.csv,aguadilla
22,51,May,5,35,52,2024,aguadilla.csv,aguadilla
64,29,April,4,20,59,2024,aguadilla.csv,aguadilla
38,31,March,3,45,87,2024,aguadilla.csv,aguadilla
38,26,February,2,28,82,2024,aguadilla.csv,aguadilla
50,50,January,1,47,143,2024,aguadilla.csv,aguadilla
95,23,December,12,85,110,2023,aguadilla.csv,aguadilla
35,39,November,11,19,34,2023,aguadilla.csv,aguadilla
28,35,October,10,15,43,2023,aguadilla.csv,aguadilla
28,12,September,9,20,60,2023,aguadilla.csv,aguadilla
40,21,August,8,26,57,2023,aguadilla.csv,aguadilla
23,37,July,7,31,37,2023,aguadilla.csv,aguadilla
13,18,June,6,12,47,2023,aguadilla.csv,aguadilla
35,44,May,5,23,35,2023,aguadilla.csv,aguadilla
37,10,April,4,35,143,2023,aguadilla.csv,aguadilla
29,12,March,3,52,90,2023,aguadilla.csv,aguadilla
29,17,February,2,14,46,2023,aguadilla.csv,aguadilla
47,38,January,1,34,144,2023,aguadilla.csv,aguadilla
50,11,December,12,47,75,2022,aguadilla.csv,aguadilla
33,7,November,11,21,83,2022,aguadilla.csv,aguadilla
40,13,October,10,14,39,2022,aguadilla.csv,aguadilla
23,12,September,9,22,28,2022,aguadilla.csv,aguadilla
22,16,August,8,40,63,2022,aguadilla.csv,aguadilla
52,25,July,7,51,75,2022,aguadilla.csv,aguadilla
27,12,June,6,28,55,2022,aguadilla.csv,aguadilla
26,19,May,5,64,88,2022,aguadilla.csv,aguadilla
17,50,April,4,64,82,2022,aguadilla.csv,aguadilla
24,22,March,3,12,70,2022,aguadilla.csv,aguadilla
34,5,February,2,24,60,2022,aguadilla.csv,aguadilla
40,9,January,1,29,99,2022,aguadilla.csv,aguadilla
40,31,December,12,54,28,2021,aguadilla.csv,aguadilla
29,11,November,11,11,45,2021,aguadilla.csv,aguadilla
4,6,October,10,8,32,2021,aguadilla.csv,aguadilla
4,1,September,9,27,41,2021,aguadilla.csv,aguadilla
10,7,August,8,31,80,2021,aguadilla.csv,aguadilla
4,12,July,7,35,57,2021,aguadilla.csv,aguadilla
6,17,June,6,10,32,2021,aguadilla.csv,aguadilla
10,4,May,5,16,34,2021,aguadilla.csv,aguadilla
6,4,April,4,15,55,2021,aguadilla.csv,aguadilla
5,4,March,3,41,53,2021,aguadilla.csv,aguadilla
6,3,February,2,16,38,2021,aguadilla.csv,aguadilla
12,3,January,1,14,75,2021,aguadilla.csv,aguadilla
6,5,December,12,28,49,2020,aguadilla.csv,aguadilla
13,7,November,11,21,53,2020,aguadilla.csv,aguadilla
11,4,October,10,17,36,2020,aguadilla.csv,aguadilla
11,3,September,9,14,29,2020,aguadilla.csv,aguadilla
3,1,August,8,30,55,2020,aguadilla.csv,aguadilla
0,2,July,7,7,27,2020,aguadilla.csv,aguadilla
0,2,June,6,5,13,2020,aguadilla.csv,aguadilla
5,3,May,5,4,4,2020,aguadilla.csv,aguadilla
0,0,April,4,3,12,2020,aguadilla.csv,aguadilla
17,20,March,3,14,62,2020,aguadilla.csv,aguadilla
7,6,February,2,18,54,2020,aguadilla.csv,aguadilla
37,23,January,1,27,125,2020,aguadilla.csv,aguadilla
50,14,December,12,45,46,2019,aguadilla.csv,aguadilla
21,22,November,11,23,69,2019,aguadilla.csv,aguadilla
35,8,October,10,15,31,2019,aguadilla.csv,aguadilla
22,19,September,9,37,79,2019,aguadilla.csv,aguadilla
43,32,August,8,103,283,2019,aguadilla.csv,aguadilla
60,32,July,7,878,1157,2019,aguadilla.csv,aguadilla
53,37,June,6,1141,1022,2019,aguadilla.csv,aguadilla
52,32,May,5,234,169,2019,aguadilla.csv,aguadilla
76,68,April,4,122,225,2019,aguadilla.csv,aguadilla
62,74,March,3,83,88,2019,aguadilla.csv,aguadilla
38,39,February,2,43,89,2019,aguadilla.csv,aguadilla
27,19,January,1,21,82,2019,aguadilla.csv,aguadilla
0,0,August,8,4,0,2025,aiken.csv,aiken
0,8,May,5,0,0,2025,aiken.csv,aiken
0,30,April,4,5,0,2025,aiken.csv,aiken
0,10,March,3,0,0,2025,aiken.csv,aiken
0,4,December,12,8,0,2024,aiken.csv,aiken
0,0,November,11,2,0,2024,aiken.csv,aiken
0,5,September,9,5,0,2024,aiken.csv,aiken
0,0,July,7,1,0,2024,aiken.csv,aiken
0,11,May,5,0,0,2024,aiken.csv,aiken
0,34,April,4,10,0,2024,aiken.csv,aiken
0,0,December,12,8,0,2023,aiken.csv,aiken
0,3,November,11,2,0,2023,aiken.csv,aiken
0,2,October,10,0,0,2023,aiken.csv,aiken
0,0,April,4,12,0,2023,aiken.csv,aiken
0,0,March,3,6,0,2023,aiken.csv,aiken
0,0,June,6,16,0,2022,aiken.csv,aiken
0,0,May,5,2,0,2022,aiken.csv,aiken
0,1,April,4,7,0,2022,aiken.csv,aiken
0,0,December,12,5,0,2019,aiken.csv,aiken
0,2,November,11,30,0,2019,aiken.csv,aiken
0,10,April,4,2,0,2019,aiken.csv,aiken
0,2,March,3,0,0,2019,aiken.csv,aiken
0,5,July,7,0,0,2024,ainsworth.csv,ainsworth
8,10,August,8,42,11,2025,akron.csv,akron
4,19,July,7,49,14,2025,akron.csv,akron
1,6,June,6,52,4,2025,akron.csv,akron
4,12,May,5,33,15,2025,akron.csv,akron
4,7,April,4,23,30,2025,akron.csv,akron
0,2,March,3,22,22,2025,akron.csv,akron
7,5,February,2,19,27,2025,akron.csv,akron
3,8,January,1,15,0,2025,akron.csv,akron
0,4,December,12,10,6,2024,akron.csv,akron
0,2,November,11,50,34,2024,akron.csv,akron
1,11,October,10,23,11,2024,akron.csv,akron
5,18,September,9,30,11,2024,akron.csv,akron
2,15,August,8,58,17,2024,akron.csv,akron
0,7,July,7,46,7,2024,akron.csv,akron
3,10,June,6,81,8,2024,akron.csv,akron
4,9,May,5,46,11,2024,akron.csv,akron
2,6,April,4,20,0,2024,akron.csv,akron
1,4,March,3,46,0,2024,akron.csv,akron
0,0,February,2,3,0,2024,akron.csv,akron
0,9,January,1,24,7,2024,akron.csv,akron
4,7,December,12,33,14,2023,akron.csv,akron
4,3,November,11,23,5,2023,akron.csv,akron
0,10,October,10,22,7,2023,akron.csv,akron
5,1,September,9,10,0,2023,akron.csv,akron
0,0,August,8,74,5,2023,akron.csv,akron
3,23,July,7,34,7,2023,akron.csv,akron
3,5,June,6,56,6,2023,akron.csv,akron
0,8,May,5,44,1,2023,akron.csv,akron
9,4,April,4,33,0,2023,akron.csv,akron
0,7,March,3,23,10,2023,akron.csv,akron
1,6,February,2,41,12,2023,akron.csv,akron
0,3,January,1,23,13,2023,akron.csv,akron
0,0,December,12,31,15,2022,akron.csv,akron
1,8,November,11,59,9,2022,akron.csv,akron
3,4,October,10,31,27,2022,akron.csv,akron
4,15,September,9,19,0,2022,akron.csv,akron
1,6,August,8,36,15,2022,akron.csv,akron
4,13,July,7,34,21,2022,akron.csv,akron
9,14,June,6,80,4,2022,akron.csv,akron
2,5,May,5,20,2,2022,akron.csv,akron
6,5,April,4,18,7,2022,akron.csv,akron
0,4,March,3,10,8,2022,akron.csv,akron
2,1,February,2,13,23,2022,akron.csv,akron
0,2,January,1,7,1,2022,akron.csv,akron
1,3,December,12,16,15,2021,akron.csv,akron
0,0,November,11,1,3,2021,akron.csv,akron
4,1,October,10,15,4,2021,akron.csv,akron
13,10,September,9,9,2,2021,akron.csv,akron
5,14,August,8,13,6,2021,akron.csv,akron
0,7,July,7,7,0,2021,akron.csv,akron
0,0,June,6,31,13,2021,akron.csv,akron
3,4,May,5,19,19,2021,akron.csv,akron
0,0,April,4,13,0,2021,akron.csv,akron
0,0,March,3,23,0,2021,akron.csv,akron
0,0,February,2,4,0,2021,akron.csv,akron
