Category: All categories

DMA,Measles: (1/1/04 - 10/15/25),MMR vaccine: (1/1/04 - 10/15/25),Measles virus: (1/1/04 - 10/15/25),Koplik's spots: (1/1/04 - 10/15/25)
Miami-Ft. Lauderdale FL,59%,39%,1%,1%
New Orleans LA,58%,40%,1%,1%
Zanesville OH,63%,37%,,
Milwaukee WI,60%,39%,1%,<1%
Buffalo NY,58%,40%,1%,1%
Cincinnati OH,60%,39%,1%,<1%
Birmingham AL,61%,37%,1%,1%
Wilkes Barre-Scranton PA,61%,37%,1%,1%
Sioux City IA,59%,39%,1%,1%
St. Joseph MO,60%,40%,,
Las Vegas NV,61%,38%,<1%,1%
Richmond-Petersburg VA,61%,38%,<1%,1%
Rochester NY,55%,43%,1%,1%
Cleveland-Akron (Canton) OH,60%,39%,1%,<1%
St. Louis MO,58%,40%,1%,1%
Chattanooga TN,64%,34%,1%,1%
Youngstown OH,64%,34%,1%,1%
Charlottesville VA,59%,39%,1%,1%
Nashville TN,58%,40%,1%,1%
Johnstown-Altoona PA,60%,38%,1%,1%
West Palm Beach-Ft. Pierce FL,61%,37%,1%,1%
Shreveport LA,65%,33%,1%,1%
Davenport IA-Rock Island-Moline IL,64%,34%,1%,1%
Duluth MN-Superior WI,60%,38%,1%,1%
Raleigh-Durham (Fayetteville) NC,59%,39%,1%,1%
Mobile AL-Pensacola (Ft. Walton Beach) FL,59%,39%,1%,1%
Tampa-St. Petersburg (Sarasota) FL,61%,37%,1%,1%
Lima OH,62%,37%,,1%
Green Bay-Appleton WI,62%,37%,1%,<1%
Norfolk-Portsmouth-Newport News VA,62%,36%,1%,1%
Binghamton NY,56%,42%,1%,1%
Memphis TN,63%,35%,1%,1%
Greenville-Spartanburg SC-Asheville NC-Anderson SC,61%,37%,1%,1%
Louisville KY,61%,37%,1%,1%
Boston MA-Manchester NH,57%,41%,1%,1%
Hattiesburg-Laurel MS,59%,38%,1%,2%
Meridian MS,63%,37%,,
Toledo OH,60%,38%,1%,1%
Beaumont-Port Arthur TX,59%,39%,1%,1%
Tallahassee FL-Thomasville GA,64%,34%,1%,1%
Jacksonville FL,60%,38%,1%,1%
Orlando-Daytona Beach-Melbourne FL,61%,38%,<1%,1%
Greenville-New Bern-Washington NC,61%,37%,1%,1%
Rockford IL,61%,37%,1%,1%
Atlanta GA,62%,36%,1%,1%
Greensboro-High Point-Winston Salem NC,61%,37%,1%,1%
Augusta GA,62%,36%,1%,1%
Charleston SC,59%,39%,1%,1%
Roanoke-Lynchburg VA,63%,35%,1%,1%
Dothan AL,62%,36%,,2%
Columbia SC,61%,37%,1%,1%
Monroe LA-El Dorado AR,60%,37%,1%,2%
Savannah GA,62%,36%,1%,1%
Wausau-Rhinelander WI,59%,39%,1%,1%
Tri-Cities TN-VA,59%,39%,1%,1%
Wilmington NC,61%,38%,1%,<1%
Charlotte NC,61%,37%,1%,1%
Jackson MS,62%,35%,1%,2%
Baton Rouge LA,46%,53%,<1%,1%
Florence-Myrtle Beach SC,65%,33%,1%,1%
Biloxi-Gulfport MS,55%,44%,1%,
Panama City FL,60%,38%,1%,1%
Albany GA,63%,34%,1%,2%
Columbus-Tupelo-West Point MS,57%,41%,1%,1%
Columbus GA,58%,40%,1%,1%
Salisbury MD,60%,39%,<1%,1%
Greenwood-Greenville MS,64%,36%,,
Lafayette LA,55%,44%,1%,<1%
Montgomery (Selma) AL,59%,39%,1%,1%
Macon GA,58%,39%,1%,2%
