variable,coef,pvalue,abs_coef
DP03_0095E,0.024718671652452784,0.9999890009449138,0.024718671652452784
DP03_0095PE,0.02471855998323622,0.9999890010159241,0.02471855998323622
DP02_0008E,-0.0246143565559922,0.9999889609122179,0.0246143565559922
DP04_0078E,-0.024555036885385427,0.9999903106439266,0.024555036885385427
DP02_0053M,0.024363300062417055,0.9999945727357871,0.024363300062417055
DP05_0093E,0.024306804446591557,0.9999806397095014,0.024306804446591557
DP03_0098M,0.024230201797691146,0.999992585595036,0.024230201797691146
DP05_0092PE,-0.024161998315469006,0.9999719336295013,0.024161998315469006
DP05_0092E,-0.0241490205298558,0.9999719451777798,0.0241490205298558
DP02_0056E,0.024093692040883703,0.9999863719122255,0.024093692040883703
DP02_0107M,-0.023980408782145815,0.9999959020463178,0.023980408782145815
DP03_0115E,-0.023789405691223363,0.9999904052952693,0.023789405691223363
DP05_0047E,-0.023733320032284892,0.9999969829175884,0.023733320032284892
DP05_0051E,0.023653615923143603,0.9999878072254175,0.023653615923143603
DP04_0122E,-0.023587386248807587,0.9999947833904088,0.023587386248807587
DP05_0088M,0.023473922609593877,0.9999972424440228,0.023473922609593877
DP02_0026M,-0.023412428730159432,0.9999961719446405,0.023412428730159432
DP03_0053E,0.02329463023111256,0.9999907789010469,0.02329463023111256
DP03_0112PE,-0.023279924060318286,0.9999994891468093,0.023279924060318286
DP03_0052E,0.02310269514939016,0.9999885649474513,0.02310269514939016
DP04_0044M,0.02306542402625112,0.999997025940147,0.02306542402625112
DP05_0082E,0.023062064568368904,0.999993277285076,0.023062064568368904
DP03_0106E,-0.022794702301669814,0.9999848926108282,0.022794702301669814
DP02_0153E,0.022519016056576295,0.9999831126232402,0.022519016056576295
DP02_0065E,0.022509262932074683,0.9999888604018902,0.022509262932074683
DP02_0119E,-0.02240906684828057,0.9999877569207383,0.02240906684828057
DP02_0035E,0.022384499474626125,0.9999935076909923,0.022384499474626125
DP04_0099E,0.022337170665691585,0.9999871529235305,0.022337170665691585
DP02_0050E,-0.022307517938847863,0.9999917104896254,0.022307517938847863
DP02_0050PE,-0.02230734582719051,0.9999917105766865,0.02230734582719051
DP02_0045E,-0.022305818836962497,0.9999917111548835,0.022305818836962497
DP04_0075E,-0.022238953111366512,0.9999933529354001,0.022238953111366512
DP03_0076E,-0.022211799011975526,0.9999919121307574,0.022211799011975526
DP05_0008E,-0.02218418720865009,0.9999973695743233,0.02218418720865009
DP02_0078E,0.022167513823016117,0.9999758361619379,0.022167513823016117
DP03_0035M,0.02198259143402644,0.9999952170792955,0.02198259143402644
DP02_0082E,-0.021963090128913863,0.9999855919183719,0.021963090128913863
DP03_0072M,-0.021802115858721455,0.9999973634582595,0.021802115858721455
DP02_0037E,0.02168541131776267,0.9999853304805371,0.02168541131776267
DP02_0037PE,0.021680837469470325,0.9999853332659018,0.021680837469470325
DP04_0111E,-0.02150667619327023,0.999980920781214,0.02150667619327023
DP03_0068E,0.021275547631920882,0.999967974788192,0.021275547631920882
DP05_0050M,0.021116788230974893,0.9999963939395208,0.021116788230974893
DP02_0003E,0.020995451979658904,0.9999919773388728,0.020995451979658904
DP05_0017E,-0.02090465296352466,0.9999840480864886,0.02090465296352466
DP02_0126E,-0.02087888231743633,0.999980231040349,0.02087888231743633
DP02_0012M,0.020790473112315324,0.9999977889214844,0.020790473112315324
DP04_0093E,-0.020760504201541647,0.9999836332115598,0.020760504201541647
DP04_0091E,-0.020751155128015404,0.9999836399358764,0.020751155128015404
DP05_0090E,0.020750345581917694,0.9999887185904426,0.020750345581917694
DP04_0093PE,-0.02074587680468961,0.9999836435104822,0.02074587680468961
DP03_0114M,0.02068139106911014,0.9999979155620865,0.02068139106911014
DP04_0113E,0.02050983047092473,0.9999888951888094,0.02050983047092473
DP02_0103M,-0.0204277903092675,0.9999958778646093,0.0204277903092675
DP04_0102PE,0.020258485566441036,0.9999812534128831,0.020258485566441036
DP04_0092E,0.020258059753753378,0.9999812536716008,0.020258059753753378
DP04_0102E,0.02025649770145186,0.9999812548984759,0.02025649770145186
DP03_0104PE,0.02010125056200955,0.99997520181712,0.02010125056200955
DP03_0104E,0.020093091088808825,0.9999752054613865,0.020093091088808825
DP03_0019M,0.020045050492701576,0.9999941201864219,0.020045050492701576
DP04_0118E,-0.02001326173031425,0.999986961660933,0.02001326173031425
